DateTime,Open,High,Low,Close,Volume
2025-06-16 03:18:00,6043.0,6043.0,6042.25,6042.5,100
2025-06-16 03:21:00,6042.5,6043.0,6042.25,6042.5,61
2025-06-16 03:24:00,6042.75,6043.25,6042.75,6042.75,84
2025-06-16 03:27:00,6043.0,6043.75,6040.75,6041.25,219
2025-06-16 03:30:00,6041.25,6041.75,6040.0,6040.0,264
2025-06-16 03:33:00,6040.0,6040.5,6038.75,6040.25,223
2025-06-16 03:36:00,6040.25,6040.25,6038.75,6039.75,117
2025-06-16 03:39:00,6039.75,6039.75,6037.75,6038.0,268
2025-06-16 03:42:00,6038.25,6039.25,6037.5,6038.25,225
2025-06-16 03:45:00,6038.25,6039.0,6038.0,6038.75,91
2025-06-16 03:48:00,6038.75,6039.0,6037.75,6038.5,158
2025-06-16 03:51:00,6038.25,6039.75,6038.25,6039.75,156
2025-06-16 03:54:00,6039.75,6040.0,6038.75,6039.5,177
2025-06-16 03:57:00,6039.75,6039.75,6039.25,6039.75,135
2025-06-16 04:00:00,6039.75,6040.0,6037.5,6039.0,414
2025-06-16 04:03:00,6039.25,6040.5,6039.25,6040.0,164
2025-06-16 04:06:00,6040.25,6041.0,6040.25,6040.25,103
2025-06-16 04:09:00,6040.5,6041.25,6040.25,6040.75,73
2025-06-16 04:12:00,6040.5,6042.0,6040.5,6041.0,153
2025-06-16 04:15:00,6041.0,6041.0,6039.75,6039.75,113
2025-06-16 04:18:00,6039.75,6040.25,6039.25,6040.25,100
2025-06-16 04:21:00,6040.25,6041.25,6040.25,6041.0,132
2025-06-16 04:24:00,6041.25,6041.25,6038.5,6039.5,198
2025-06-16 04:27:00,6039.25,6040.0,6039.0,6039.75,68
2025-06-16 04:30:00,6039.75,6040.25,6038.5,6040.0,174
2025-06-16 04:33:00,6039.75,6040.0,6037.5,6037.75,283
2025-06-16 04:36:00,6037.75,6038.75,6037.5,6038.5,199
2025-06-16 04:39:00,6038.5,6039.5,6038.5,6039.0,91
2025-06-16 04:42:00,6039.25,6039.5,6038.0,6038.5,217
2025-06-16 04:45:00,6038.25,6038.75,6037.75,6038.25,120
2025-06-16 04:48:00,6038.0,6038.5,6037.5,6038.5,146
2025-06-16 04:51:00,6038.5,6038.75,6038.25,6038.75,42
2025-06-16 04:54:00,6038.75,6039.0,6038.25,6038.5,183
2025-06-16 04:57:00,6038.75,6039.5,6038.75,6039.25,96
2025-06-16 05:00:00,6039.0,6041.0,6039.0,6039.5,309
2025-06-16 05:03:00,6039.75,6041.25,6039.75,6040.5,126
2025-06-16 05:06:00,6041.0,6041.5,6039.5,6041.25,182
2025-06-16 05:09:00,6041.0,6042.5,6041.0,6042.0,231
2025-06-16 05:12:00,6041.75,6042.25,6041.5,6042.25,125
2025-06-16 05:15:00,6042.0,6043.75,6042.0,6043.75,269
2025-06-16 05:18:00,6043.5,6045.0,6043.5,6044.5,313
2025-06-16 05:21:00,6044.5,6045.5,6044.5,6045.25,235
2025-06-16 05:24:00,6045.25,6047.0,6045.0,6046.75,355
2025-06-16 05:27:00,6046.75,6047.75,6046.25,6047.5,517
2025-06-16 05:30:00,6047.25,6048.75,6046.75,6047.25,461
2025-06-16 05:33:00,6047.25,6047.25,6045.5,6046.75,365
2025-06-16 05:36:00,6046.75,6050.0,6046.75,6049.75,435
2025-06-16 05:39:00,6049.5,6050.0,6048.25,6049.75,402
2025-06-16 05:42:00,6049.75,6050.25,6047.25,6047.75,357
2025-06-16 05:45:00,6047.75,6048.5,6045.25,6045.25,352
2025-06-16 05:48:00,6045.25,6047.25,6045.25,6046.75,122
2025-06-16 05:51:00,6046.75,6047.0,6045.25,6046.0,127
2025-06-16 05:54:00,6046.0,6047.0,6046.0,6046.75,155
2025-06-16 05:57:00,6047.0,6047.75,6046.0,6046.25,157
2025-06-16 06:00:00,6046.5,6047.75,6044.5,6047.25,530
2025-06-16 06:03:00,6047.25,6048.0,6045.25,6045.75,335
2025-06-16 06:06:00,6045.75,6048.5,6045.25,6048.25,479
2025-06-16 06:09:00,6048.25,6051.5,6048.25,6049.25,609
2025-06-16 06:12:00,6049.25,6050.0,6048.5,6049.5,259
2025-06-16 06:15:00,6049.75,6052.25,6049.0,6051.0,593
2025-06-16 06:18:00,6051.0,6052.75,6050.5,6051.25,443
